Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
6	0.834079	7500	-76.524108	-561.653979
7	0.811838	7500	-75.327130	-636.981110
8	0.789957	7500	-74.112338	-711.093448
9	0.768433	7500	-72.908120	-784.001568
10	0.747266	7500	-71.722943	-855.724511
11	0.726452	7500	-70.582802	-926.307313
12	0.705989	7500	-69.324843	-995.632155
13	0.685877	7500	-68.233044	-1063.865199
14	0.666112	7500	-67.054355	-1130.919554
15	0.646693	7500	-65.921228	-1196.840782
16	0.627618	7500	-64.708227	-1261.549009
17	0.608884	7500	-63.659808	-1325.208816
18	0.590490	7500	-62.471985	-1387.680801
19	0.572433	7500	-61.333117	-1449.013917
20	0.554712	7500	-60.265934	-1509.279851
21	0.537324	7500	-59.103518	-1568.383369
22	0.520268	7500	-58.114735	-1626.498105
23	0.503540	7500	-56.938946	-1683.437050
24	0.487139	7500	-55.816425	-1739.253475
25	0.471063	7500	-54.742626	-1793.996101
26	0.455310	7500	-53.638135	-1847.634236
27	0.439877	7500	-52.535458	-1900.169694
28	0.424762	7500	-51.471127	-1951.640820
29	0.409963	7500	-50.446456	-2002.087277
30	0.395478	7500	-49.409855	-2051.497132
31	0.381305	7500	-48.224454	-2099.721586
32	0.367440	7500	-47.312586	-2147.034172
33	0.353883	7500	-46.252486	-2193.286659
34	0.340630	7500	-45.228235	-2238.514894
35	0.327680	7500	-44.190756	-2282.705650
36	0.315030	7500	-43.174382	-2325.880031
37	0.302677	7500	-42.159496	-2368.039527
38	0.290619	7500	-41.149421	-2409.188948
39	0.278855	7500	-40.162004	-2449.350952
40	0.267381	7500	-39.168623	-2488.519575
41	0.256195	7500	-38.188429	-2526.708004
42	0.245294	7500	-37.216306	-2563.924310
43	0.234677	7500	-36.244310	-2600.168620
44	0.224340	7500	-35.292959	-2635.461579
45	0.214281	7500	-34.347572	-2669.809151
46	0.204498	7500	-33.404148	-2703.213299
47	0.194988	7500	-32.481280	-2735.694579
48	0.185749	7500	-31.598362	-2767.292941
49	0.176777	7500	-30.641715	-2797.934655
50	0.168070	7500	-29.805607	-2827.740262
51	0.159626	7500	-28.846093	-2856.586355
52	0.151441	7500	-27.977766	-2884.564121
53	0.143514	7500	-27.084077	-2911.648198
54	0.135841	7500	-26.254193	-2937.902391
55	0.128420	7500	-25.421195	-2963.323587
56	0.121247	7500	-24.662754	-2987.986341
57	0.114320	7500	-23.725391	-3011.711732
58	0.107637	7500	-22.847725	-3034.559457
59	0.101193	7500	-22.039717	-3056.599173
60	0.094986	7500	-21.225813	-3077.824987
61	0.089014	7500	-20.522530	-3098.347516
62	0.083273	7500	-19.752329	-3118.099845
63	0.077760	7500	-18.980809	-3137.080654
64	0.072472	7500	-18.281776	-3155.362430
65	0.067406	7500	-17.541796	-3172.904226
66	0.062558	7500	-16.797567	-3189.701794
67	0.057926	7500	-16.226024	-3205.927817
68	0.053506	7500	-15.472352	-3221.400169
69	0.049295	7500	-14.769576	-3236.169745
70	0.045289	7500	-14.051938	-3250.221683
71	0.041485	7500	-13.373528	-3263.595211
72	0.037880	7500	-12.682262	-3276.277473
73	0.034469	7500	-12.018904	-3288.296376
74	0.031250	7500	-11.345334	-3299.641711
75	0.028218	7500	-10.698610	-3310.340320
76	0.025370	7500	-10.047277	-3320.387597
77	0.022702	7500	-9.431567	-3329.819163
78	0.020209	7500	-8.806404	-3338.625568
79	0.017889	7500	-8.208991	-3346.834558
80	0.015736	7500	-7.626030	-3354.460589
81	0.013746	7500	-7.052014	-3361.512603
82	0.011916	7500	-6.505413	-3368.018016
83	0.010240	7500	-5.966215	-3373.984231
84	0.008714	7500	-5.440236	-3379.424467
85	0.007334	7500	-4.941395	-3384.365863
86	0.006093	7500	-4.454863	-3388.820725
87	0.004988	7500	-3.985244	-3392.805970
88	0.004013	7500	-3.546430	-3396.352400
89	0.003162	7500	-3.122654	-3399.475054
90	0.002430	7500	-2.715950	-3402.191005
91	0.001810	7500	-2.349708	-3404.540713
92	0.001296	7500	-2.056354	-3406.597067
93	0.000882	7500	-1.791617	-3408.388684
94	0.000559	7500	-1.545780	-3409.934464
95	0.000320	7500	-1.286933	-3411.221397
96	0.000156	7500	-0.948177	-3412.169574
97	0.000057	7500	-0.615784	-3412.785358
98	0.000010	7500	-0.290223	-3413.075581
99	0.000000	7500	-0.063252	-3413.138833
Log marginal likelihood:	-3413.138833
0	0.975187	7500	-84.998247	-84.998247
1	0.950747	7500	-83.710266	-168.708513
2	0.926679	7500	-82.435318	-251.143831
3	0.902980	7500	-81.191772	-332.335604
4	0.879648	7500	-79.979073	-412.314677
5	0.856682	7500	-78.711063	-491.025739
6	0.834079	7500	-77.469732	-568.495471
7	0.811838	7500	-76.246233	-644.741704
8	0.789957	7500	-75.004475	-719.746180
9	0.768433	7500	-73.793296	-793.539475
10	0.747266	7500	-72.563086	-866.102561
11	0.726452	7500	-71.336306	-937.438868
12	0.705989	7500	-70.151722	-1007.590590
13	0.685877	7500	-68.953526	-1076.544116
14	0.666112	7500	-67.765660	-1144.309776
15	0.646693	7500	-66.585730	-1210.895505
16	0.627618	7500	-65.399505	-1276.295010
17	0.608884	7500	-64.235437	-1340.530447
18	0.590490	7500	-63.074763	-1403.605210
19	0.572433	7500	-61.920946	-1465.526156
20	0.554712	7500	-60.767944	-1526.294100
21	0.537324	7500	-59.624667	-1585.918767
22	0.520268	7500	-58.490811	-1644.409579
23	0.503540	7500	-57.366523	-1701.776102
24	0.487139	7500	-56.245567	-1758.021669
25	0.471063	7500	-55.134847	-1813.156516
26	0.455310	7500	-54.029610	-1867.186126
27	0.439877	7500	-52.931120	-1920.117245
28	0.424762	7500	-51.839111	-1971.956356
29	0.409963	7500	-50.759498	-2022.715854
30	0.395478	7500	-49.680446	-2072.396300
31	0.381305	7500	-48.613653	-2121.009953
32	0.367440	7500	-47.559808	-2168.569761
33	0.353883	7500	-46.506232	-2215.075993
34	0.340630	7500	-45.464092	-2260.540086
35	0.327680	7500	-44.427990	-2304.968075
36	0.315030	7500	-43.398502	-2348.366577
37	0.302677	7500	-42.382037	-2390.748614
38	0.290619	7500	-41.368029	-2432.116643
39	0.278855	7500	-40.367795	-2472.484437
40	0.267381	7500	-39.370056	-2511.854493
41	0.256195	7500	-38.383168	-2550.237661
42	0.245294	7500	-37.405305	-2587.642967
43	0.234677	7500	-36.436148	-2624.079114
44	0.224340	7500	-35.474961	-2659.554075
45	0.214281	7500	-34.521917	-2694.075991
46	0.204498	7500	-33.578667	-2727.654659
47	0.194988	7500	-32.643640	-2760.298299
48	0.185749	7500	-31.718308	-2792.016607
49	0.176777	7500	-30.798450	-2822.815057
50	0.168070	7500	-29.890572	-2852.705629
51	0.159626	7500	-28.997522	-2881.703151
52	0.151441	7500	-28.104004	-2909.807155
53	0.143514	7500	-27.262970	-2937.070125
54	0.135841	7500	-26.357843	-2963.427968
55	0.128420	7500	-25.492084	-2988.920052
56	0.121247	7500	-24.642441	-3013.562492
57	0.114320	7500	-23.800483	-3037.362975
58	0.107637	7500	-23.060803	-3060.423778
59	0.101193	7500	-22.146464	-3082.570241
60	0.094986	7500	-21.343076	-3103.913317
61	0.089014	7500	-20.606673	-3124.519990
62	0.083273	7500	-19.848356	-3144.368346
63	0.077760	7500	-19.075842	-3163.444188
64	0.072472	7500	-18.481569	-3181.925757
65	0.067406	7500	-17.658262	-3199.584019
66	0.062558	7500	-16.995924	-3216.579943
67	0.057926	7500	-16.311571	-3232.891514
68	0.053506	7500	-15.598000	-3248.489514
69	0.049295	7500	-14.888046	-3263.377560
70	0.045289	7500	-14.121056	-3277.498617
71	0.041485	7500	-13.462800	-3290.961416
72	0.037880	7500	-12.762441	-3303.723857
73	0.034469	7500	-12.081244	-3315.805102
74	0.031250	7500	-11.412286	-3327.217388
75	0.028218	7500	-10.757111	-3337.974499
76	0.025370	7500	-10.114650	-3348.089150
77	0.022702	7500	-9.480504	-3357.569654
78	0.020209	7500	-8.868500	-3366.438153
79	0.017889	7500	-8.260389	-3374.698542
80	0.015736	7500	-7.668654	-3382.367196
81	0.013746	7500	-7.096288	-3389.463485
82	0.011916	7500	-6.538851	-3396.002336
83	0.010240	7500	-6.001289	-3402.003625
84	0.008714	7500	-5.480507	-3407.484132
85	0.007334	7500	-4.963322	-3412.447454
86	0.006093	7500	-4.476245	-3416.923699
87	0.004988	7500	-4.014466	-3420.938165
88	0.004013	7500	-3.562856	-3424.501020
89	0.003162	7500	-3.146350	-3427.647370
90	0.002430	7500	-2.743227	-3430.390597
91	0.001810	7500	-2.387941	-3432.778538
92	0.001296	7500	-2.057171	-3434.835710
93	0.000882	7500	-1.814316	-3436.650025
94	0.000559	7500	-1.553862	-3438.203887
95	0.000320	7500	-1.286922	-3439.490809
96	0.000156	7500	-0.936139	-3440.426948
97	0.000057	7500	-0.609251	-3441.036199
98	0.000010	7500	-0.291503	-3441.327702
99	0.000000	7500	-0.063503	-3441.391205
Log marginal likelihood:	-3441.391205
0	0.975187	7500	-83.190513	-83.190513
1	0.950747	7500	-81.973396	-165.163909
2	0.926679	7500	-80.733181	-245.897089
3	0.902980	7500	-79.502392	-325.399481
4	0.879648	7500	-78.303651	-403.703132
5	0.856682	7500	-77.055112	-480.758244
6	0.834079	7500	-75.842892	-556.601136
7	0.811838	7500	-74.748768	-631.349903
8	0.789957	7500	-73.484705	-704.834609
9	0.768433	7500	-72.252670	-777.087278
10	0.747266	7500	-71.075589	-848.162867
11	0.726452	7500	-69.890503	-918.053370
12	0.705989	7500	-68.742818	-986.796189
13	0.685877	7500	-67.605264	-1054.401453
14	0.666112	7500	-66.415999	-1120.817451
15	0.646693	7500	-65.319923	-1186.137374
16	0.627618	7500	-64.088218	-1250.225592
17	0.608884	7500	-63.076061	-1313.301653
18	0.590490	7500	-61.905011	-1375.206664
19	0.572433	7500	-60.856187	-1436.062851
20	0.554712	7500	-59.674498	-1495.737349
21	0.537324	7500	-58.518013	-1554.255362
22	0.520268	7500	-57.447580	-1611.702942
23	0.503540	7500	-56.319064	-1668.022007
24	0.487139	7500	-55.242042	-1723.264049
25	0.471063	7500	-54.154524	-1777.418572
26	0.455310	7500	-53.044113	-1830.462685
27	0.439877	7500	-51.983122	-1882.445807
28	0.424762	7500	-50.922457	-1933.368263
29	0.409963	7500	-49.836413	-1983.204676
30	0.395478	7500	-48.811446	-2032.016122
31	0.381305	7500	-47.774298	-2079.790420
32	0.367440	7500	-46.742971	-2126.533391
33	0.353883	7500	-45.702149	-2172.235541
34	0.340630	7500	-44.682056	-2216.917597
35	0.327680	7500	-43.661638	-2260.579235
36	0.315030	7500	-42.645069	-2303.224304
37	0.302677	7500	-41.651509	-2344.875813
38	0.290619	7500	-40.657395	-2385.533208
39	0.278855	7500	-39.664788	-2425.197996
40	0.267381	7500	-38.696203	-2463.894200
41	0.256195	7500	-37.724580	-2501.618779
42	0.245294	7500	-36.763878	-2538.382658
43	0.234677	7500	-35.814198	-2574.196855
44	0.224340	7500	-34.865886	-2609.062742
45	0.214281	7500	-33.932572	-2642.995314
46	0.204498	7500	-33.002734	-2675.998048
47	0.194988	7500	-32.081868	-2708.079916
48	0.185749	7500	-31.174923	-2739.254839
49	0.176777	7500	-30.272121	-2769.526960
50	0.168070	7500	-29.385517	-2798.912477
51	0.159626	7500	-28.499437	-2827.411914
52	0.151441	7500	-27.624437	-2855.036351
53	0.143514	7500	-26.759557	-2881.795907
54	0.135841	7500	-25.902133	-2907.698040
55	0.128420	7500	-25.066536	-2932.764576
56	0.121247	7500	-24.238394	-2957.002970
57	0.114320	7500	-23.399506	-2980.402476
58	0.107637	7500	-22.579006	-3002.981482
59	0.101193	7500	-21.768971	-3024.750454
60	0.094986	7500	-20.970481	-3045.720934
61	0.089014	7500	-20.209593	-3065.930527
62	0.083273	7500	-19.513283	-3085.443810
63	0.077760	7500	-18.688867	-3104.132677
64	0.072472	7500	-18.031733	-3122.164410
65	0.067406	7500	-17.306629	-3139.471040
66	0.062558	7500	-16.521048	-3155.992087
67	0.057926	7500	-15.863571	-3171.855658
68	0.053506	7500	-15.325905	-3187.181563
69	0.049295	7500	-14.737525	-3201.919088
70	0.045289	7500	-13.926340	-3215.845428
71	0.041485	7500	-13.293594	-3229.139022
72	0.037880	7500	-12.597524	-3241.736546
73	0.034469	7500	-11.936870	-3253.673416
74	0.031250	7500	-11.294815	-3264.968231
75	0.028218	7500	-10.647184	-3275.615415
76	0.025370	7500	-10.002928	-3285.618343
77	0.022702	7500	-9.387607	-3295.005950
78	0.020209	7500	-8.772433	-3303.778384
79	0.017889	7500	-8.176765	-3311.955149
80	0.015736	7500	-7.592885	-3319.548034
81	0.013746	7500	-7.022541	-3326.570576
82	0.011916	7500	-6.470793	-3333.041369
83	0.010240	7500	-5.936927	-3338.978295
84	0.008714	7500	-5.419784	-3344.398079
85	0.007334	7500	-4.922626	-3349.320705
86	0.006093	7500	-4.436282	-3353.756987
87	0.004988	7500	-3.966934	-3357.723921
88	0.004013	7500	-3.521954	-3361.245875
89	0.003162	7500	-3.102123	-3364.347999
90	0.002430	7500	-2.724942	-3367.072941
91	0.001810	7500	-2.354764	-3369.427705
92	0.001296	7500	-2.073223	-3371.500928
93	0.000882	7500	-1.804431	-3373.305359
94	0.000559	7500	-1.570868	-3374.876227
95	0.000320	7500	-1.276068	-3376.152295
96	0.000156	7500	-0.977925	-3377.130220
97	0.000057	7500	-0.614365	-3377.744585
98	0.000010	7500	-0.295385	-3378.039969
99	0.000000	7500	-0.063524	-3378.103493
Log marginal likelihood:	-3378.103493
0	0.975187	7500	-83.749800	-83.749800
1	0.950747	7500	-82.491845	-166.241644
2	0.926679	7500	-81.256423	-247.498067
3	0.902980	7500	-79.993534	-327.491601
4	0.879648	7500	-78.766922	-406.258523
5	0.856682	7500	-77.523591	-483.782115
6	0.834079	7500	-76.314772	-560.096886
7	0.811838	7500	-75.136275	-635.233161
8	0.789957	7500	-73.916380	-709.149542
9	0.768433	7500	-72.668687	-781.818229
10	0.747266	7500	-71.622827	-853.441055
11	0.726452	7500	-70.368314	-923.809370
12	0.705989	7500	-69.169471	-992.978841
13	0.685877	7500	-67.947510	-1060.926350
14	0.666112	7500	-66.791325	-1127.717675
15	0.646693	7500	-65.704130	-1193.421805
16	0.627618	7500	-64.477130	-1257.898936
17	0.608884	7500	-63.350071	-1321.249007
18	0.590490	7500	-62.237967	-1383.486974
19	0.572433	7500	-61.096286	-1444.583260
20	0.554712	7500	-59.985700	-1504.568960
21	0.537324	7500	-58.890922	-1563.459882
22	0.520268	7500	-57.722334	-1621.182216
23	0.503540	7500	-56.621492	-1677.803708
24	0.487139	7500	-55.523523	-1733.327231
25	0.471063	7500	-54.452655	-1787.779886
26	0.455310	7500	-53.355383	-1841.135270
27	0.439877	7500	-52.264934	-1893.400204
28	0.424762	7500	-51.197893	-1944.598096
29	0.409963	7500	-50.122623	-1994.720719
30	0.395478	7500	-49.062191	-2043.782910
31	0.381305	7500	-48.014344	-2091.797254
32	0.367440	7500	-46.969946	-2138.767201
33	0.353883	7500	-45.925248	-2184.692448
34	0.340630	7500	-44.899060	-2229.591508
35	0.327680	7500	-43.879244	-2273.470752
36	0.315030	7500	-42.862825	-2316.333577
37	0.302677	7500	-41.848976	-2358.182553
38	0.290619	7500	-40.861145	-2399.043698
39	0.278855	7500	-39.871643	-2438.915342
40	0.267381	7500	-38.889087	-2477.804428
41	0.256195	7500	-37.908954	-2515.713382
42	0.245294	7500	-36.944473	-2552.657856
43	0.234677	7500	-35.990492	-2588.648348
44	0.224340	7500	-35.035398	-2623.683745
45	0.214281	7500	-34.097652	-2657.781397
46	0.204498	7500	-33.165736	-2690.947134
47	0.194988	7500	-32.243058	-2723.190192
48	0.185749	7500	-31.324936	-2754.515127
49	0.176777	7500	-30.422202	-2784.937329
50	0.168070	7500	-29.526005	-2814.463334
51	0.159626	7500	-28.637953	-2843.101287
52	0.151441	7500	-27.761199	-2870.862487
53	0.143514	7500	-26.891276	-2897.753763
54	0.135841	7500	-26.032124	-2923.785888
55	0.128420	7500	-25.198776	-2948.984663
56	0.121247	7500	-24.343212	-2973.327875
57	0.114320	7500	-23.507524	-2996.835400
58	0.107637	7500	-22.727802	-3019.563202
59	0.101193	7500	-21.875687	-3041.438889
60	0.094986	7500	-21.079400	-3062.518289
61	0.089014	7500	-20.389218	-3082.907507
62	0.083273	7500	-19.548125	-3102.455632
63	0.077760	7500	-18.734349	-3121.189981
64	0.072472	7500	-18.083940	-3139.273921
65	0.067406	7500	-17.331432	-3156.605353
66	0.062558	7500	-16.581709	-3173.187062
67	0.057926	7500	-15.965377	-3189.152440
68	0.053506	7500	-15.255449	-3204.407889
69	0.049295	7500	-14.645823	-3219.053712
70	0.045289	7500	-13.969124	-3233.022836
71	0.041485	7500	-13.317062	-3246.339898
72	0.037880	7500	-12.602090	-3258.941988
73	0.034469	7500	-11.967577	-3270.909565
74	0.031250	7500	-11.340887	-3282.250452
75	0.028218	7500	-10.689138	-3292.939591
76	0.025370	7500	-10.046667	-3302.986258
77	0.022702	7500	-9.421450	-3312.407707
78	0.020209	7500	-8.813244	-3321.220951
79	0.017889	7500	-8.208156	-3329.429108
80	0.015736	7500	-7.627803	-3337.056910
81	0.013746	7500	-7.054515	-3344.111425
82	0.011916	7500	-6.500769	-3350.612195
83	0.010240	7500	-5.962172	-3356.574366
84	0.008714	7500	-5.446039	-3362.020405
85	0.007334	7500	-4.937597	-3366.958002
86	0.006093	7500	-4.456386	-3371.414388
87	0.004988	7500	-3.979512	-3375.393901
88	0.004013	7500	-3.540670	-3378.934571
89	0.003162	7500	-3.113902	-3382.048472
90	0.002430	7500	-2.713119	-3384.761591
91	0.001810	7500	-2.366550	-3387.128141
92	0.001296	7500	-2.045884	-3389.174026
93	0.000882	7500	-1.804524	-3390.978550
94	0.000559	7500	-1.607170	-3392.585720
95	0.000320	7500	-1.328479	-3393.914199
96	0.000156	7500	-0.936294	-3394.850493
97	0.000057	7500	-0.606589	-3395.457082
98	0.000010	7500	-0.299186	-3395.756269
99	0.000000	7500	-0.062811	-3395.819080
Log marginal likelihood:	-3395.819080
0	0.975187	7500	-85.485386	-85.485386
1	0.950747	7500	-84.192068	-169.677454
2	0.926679	7500	-82.910886	-252.588340
3	0.902980	7500	-81.641633	-334.229973
4	0.879648	7500	-80.383401	-414.613374
5	0.856682	7500	-79.119070	-493.732444
6	0.834079	7500	-77.873391	-571.605836
7	0.811838	7500	-76.627848	-648.233683
8	0.789957	7500	-75.390958	-723.624641
9	0.768433	7500	-74.154425	-797.779066
10	0.747266	7500	-72.935613	-870.714679
11	0.726452	7500	-71.715187	-942.429866
12	0.705989	7500	-70.505461	-1012.935326
13	0.685877	7500	-69.297824	-1082.233151
14	0.666112	7500	-68.100128	-1150.333279
15	0.646693	7500	-66.912870	-1217.246149
16	0.627618	7500	-65.728934	-1282.975084
17	0.608884	7500	-64.553383	-1347.528467
18	0.590490	7500	-63.384439	-1410.912905
19	0.572433	7500	-62.218448	-1473.131353
20	0.554712	7500	-61.067208	-1534.198561
21	0.537324	7500	-59.918419	-1594.116980
22	0.520268	7500	-58.778367	-1652.895347
23	0.503540	7500	-57.647132	-1710.542479
24	0.487139	7500	-56.517004	-1767.059483
25	0.471063	7500	-55.402695	-1822.462178
26	0.455310	7500	-54.291676	-1876.753854
27	0.439877	7500	-53.188816	-1929.942670
28	0.424762	7500	-52.092141	-1982.034811
29	0.409963	7500	-51.005495	-2033.040306
30	0.395478	7500	-49.924019	-2082.964325
31	0.381305	7500	-48.851962	-2131.816287
32	0.367440	7500	-47.790380	-2179.606667
33	0.353883	7500	-46.732327	-2226.338994
34	0.340630	7500	-45.683693	-2272.022687
35	0.327680	7500	-44.641255	-2316.663943
36	0.315030	7500	-43.607760	-2360.271703
37	0.302677	7500	-42.584582	-2402.856285
38	0.290619	7500	-41.570913	-2444.427198
39	0.278855	7500	-40.561358	-2484.988556
40	0.267381	7500	-39.562304	-2524.550860
41	0.256195	7500	-38.571675	-2563.122534
42	0.245294	7500	-37.586504	-2600.709039
43	0.234677	7500	-36.609971	-2637.319010
44	0.224340	7500	-35.647670	-2672.966680
45	0.214281	7500	-34.687133	-2707.653812
46	0.204498	7500	-33.739831	-2741.393643
47	0.194988	7500	-32.802757	-2774.196400
48	0.185749	7500	-31.874476	-2806.070876
49	0.176777	7500	-30.949598	-2837.020474
50	0.168070	7500	-30.038239	-2867.058713
51	0.159626	7500	-29.137253	-2896.195965
52	0.151441	7500	-28.242670	-2924.438636
53	0.143514	7500	-27.359863	-2951.798499
54	0.135841	7500	-26.479554	-2978.278053
55	0.128420	7500	-25.616782	-3003.894834
56	0.121247	7500	-24.761400	-3028.656234
57	0.114320	7500	-23.917634	-3052.573868
58	0.107637	7500	-23.077309	-3075.651177
59	0.101193	7500	-22.251976	-3097.903153
60	0.094986	7500	-21.451018	-3119.354171
61	0.089014	7500	-20.636763	-3139.990934
62	0.083273	7500	-19.839843	-3159.830778
63	0.077760	7500	-19.073490	-3178.904268
64	0.072472	7500	-18.370008	-3197.274275
65	0.067406	7500	-17.587561	-3214.861836
66	0.062558	7500	-16.871006	-3231.732842
67	0.057926	7500	-16.100684	-3247.833526
68	0.053506	7500	-15.459874	-3263.293400
69	0.049295	7500	-14.693612	-3277.987012
70	0.045289	7500	-14.164244	-3292.151256
71	0.041485	7500	-13.542342	-3305.693598
72	0.037880	7500	-12.878901	-3318.572499
73	0.034469	7500	-12.228195	-3330.800695
74	0.031250	7500	-11.557046	-3342.357741
75	0.028218	7500	-10.892904	-3353.250644
76	0.025370	7500	-10.238938	-3363.489582
77	0.022702	7500	-9.614139	-3373.103721
78	0.020209	7500	-8.986329	-3382.090050
79	0.017889	7500	-8.376226	-3390.466276
80	0.015736	7500	-7.776560	-3398.242836
81	0.013746	7500	-7.198748	-3405.441585
82	0.011916	7500	-6.634704	-3412.076289
83	0.010240	7500	-6.084666	-3418.160955
84	0.008714	7500	-5.549374	-3423.710329
85	0.007334	7500	-5.035403	-3428.745732
86	0.006093	7500	-4.543411	-3433.289143
87	0.004988	7500	-4.069735	-3437.358878
88	0.004013	7500	-3.607557	-3440.966435
89	0.003162	7500	-3.177468	-3444.143903
90	0.002430	7500	-2.772234	-3446.916136
91	0.001810	7500	-2.404677	-3449.320813
92	0.001296	7500	-2.088825	-3451.409638
93	0.000882	7500	-1.824637	-3453.234275
94	0.000559	7500	-1.616001	-3454.850276
95	0.000320	7500	-1.310121	-3456.160397
96	0.000156	7500	-0.985145	-3457.145541
97	0.000057	7500	-0.604736	-3457.750277
98	0.000010	7500	-0.292326	-3458.042603
